idx,title,desc,org_link,pDate
11,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","경북도 <b>김진현</b> 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”며 5인 이상 외국인 근로자 고용 사업주들의 적극적 검사와 협조를... ",,2021-03-07 19:00:00
12,"경북도, 외국인 근로자 대상 코로나 진단검사 행정명령 시행",<b>김진현</b> 경북도 복지건강국장은 “최근 경기와 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ,,2021-03-07 18:24:00
13,"경북도, 외국인 근로자 코로나19 진단검사 행정명령 조치","<b>김진현</b> 경북도 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 17:38:00
14,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청에서 외국인 근로자 고용사업장의 집단발생 사례가 나오고 있다&quot;며 &quot;선제 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와 협조를 요청한다&quot;고... ",,2021-03-07 16:59:00
15,"경북도, 외국인 근로자 5인 이상 고용 사업장 코로나 검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 16:21:00
16,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단 발생 사례로 지역사회 확산이 우려되고 있다”며, “선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의... ",,2021-03-07 16:07:00
17,"경북도, 외국인 근로자 코로나19 검사 행정명령",<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기와 충청지역에서 외국인 근로자 고용 사업장의 집단발생 사례로 지역사회 확산이 우려된다&quot;며 &quot;집단 감염을 예방할 수 있도록 사업주들의 적극적인 협조를 당부드린다&quot;고... ,,2021-03-07 15:26:00
18,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","경북도 <b>김진현</b> 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”며 5인 이상 외국인 근로자 고용 사업주들의 적극적 검사와 협조를... ",,2021-03-07 15:15:00
19,"경북도, 외국인 근로자 12일까지 코로나19 검사 행정명령","또 불법체류자도 신변상 불이익을 받지 않고 선제검사를 받을 수 있도록 했다.<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청 지역에서 외국인 근로자 고용사업장의 집단 발생 사례가 잇따르고 있어 지역사회 확산이... ",,2021-03-07 13:23:00
20,FA컵 1R 1일차 경기 종료...포천-파주-시흥-평택-양평 등 8팀 2R 진출,전반 30분 역습상황에서 조이록이 찬 슈팅이 골키퍼를 맞고 나오자 이를 <b>김진현</b>이 마무리하며 선제골을 넣었고 후반 38분 코너킥 상황에서 류언재가 추가 득점에 성공하며 팀의 2대 0승리를 완성했다. 시흥은... ,,2021-03-07 11:25:00
21,"경북도, 외국인 근로자 코로나19 진단검사 행정명령",<b>김진현</b> 도 복지건강국장은 &quot;외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 사와 협조를 당부드린다&quot;고 말했다.... ,,2021-03-07 11:23:00
22,"경북도, 8일부터 외국인 고용사업장 코로나 의무 검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단 발생 사례로 지역사회 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-07 11:20:00
23,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단 발생 사례로 지역사회 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 예방할 수 있도록 사업주의 적극적인 검사와... ",,2021-03-07 10:52:00
24,FA컵 1라운드 첫 날 경기 마쳐...시흥ㆍ평택ㆍ청주 등 8팀 2R 진출,전반 30분 역습상황에서 조이록이 찬 슈팅이 골키퍼를 맞고 나오자 이를 <b>김진현</b>이 마무리하며 선제골을 넣었고 후반 38분 코너킥 상황에서 류언재가 추가 득점에 성공하며 팀의 2-0 승리를 완성했다. 시흥은... ,,2021-03-07 10:35:00
25,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","경북도 <b>김진현</b> 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”면서 “선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-07 10:34:00
26,"경북도, 외국인 근로자 코로나19 진단검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 “최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적... ",,2021-03-07 10:12:00
27,"경북도, 외국인 근로자 코로나 검사 받도록 행정명령","<b>김진현</b> 경북도 보건복지국장은 “최근 경기, 충청 지역에서 외국인 근로자 고용사업장의 집단발생 사례가 잇따르고 있어 경북 지역사회의 확산이 우려되고 있다”며 “선제적 검사로 집단감염을 사전에 예방할 수 있도록... ",,2021-03-07 10:05:00
28,"경북도, 외국인 근로자 코로나19 진단검사 ‘행정명령’ 내려","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 08:47:00
29,"경상북도, 도민건강증진 위해 다양한 비대면 프로그램을 개발·운영",건강생활 실천을 지속하도록 다방면으로 도민들에게 안내를 하고 있다. <b>김진현</b> 경상북도 복지건강국장은 &quot;코로나19 상황에서도 건강증진은 계속되어야 하고 경북도가 도민들의 건강을 위해 항상 지원하겠다.&quot;고 말했다.,,2021-03-07 08:43:00
30,"경북도, '외국인 근로자' 코로나19 검사 행정명령 … 12일까지",<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기·충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ,,2021-03-07 08:42:00
31,"경북도, 외국인근로자 사업장에 코로나19 검사 행정명령","<b>김진현</b> 경북도 복지건강국장은 &quot;최근 경기, 충청지역에서 외국인 근로자 고용사업장의 집단발생 사례로 지역사회 확산이 우려되고 있다&quot;며 &quot;선제적 검사로 집단감염을 사전에 예방할 수 있도록 사업주들의 적극적 검사와... ",,2021-03-07 08:31:00
32,FA컵 1R 경기 종료…시흥·평택·청주 등 2R 진출,전반 30분 역습상황에서 조이록이 찬 슈팅이 골키퍼를 맞고 나오자 이를 <b>김진현</b>이 마무리하며 선제골을 넣었고 후반 38분 코너킥 상황에서 류언재가 추가 득점에 성공하며 팀의 2-0 승리를 완성했다. 시흥은 올해... ,,2021-03-06 23:19:00
33,FA컵 1R 1일차 경기 종료...시흥-평택-청주 등 8팀 2R 진출,전반 30분 역습상황에서 조이록이 찬 슈팅이 골키퍼를 맞고 나오자 이를 <b>김진현</b>이 마무리하며 선제골을 넣었고 후반 38분 코너킥 상황에서 류언재가 추가 득점에 성공하며 팀의 2-0 승리를 완성했다. 시흥은 올해... ,,2021-03-06 23:11:00
34,2021년 2월 충북일보 독자권익위원회,"이번 지면평가에는 <b>김진현</b>(㈜금진 대표이사) 위원장을 비롯해 김종렬(NH농협은행 가경동지점장), 안종묵... ◇<b>김진현</b> 위원장 &quot;2월 한 달간 읽을 기사거리가 많았다. 창간18주년을 맞이해 '다시 미호강 시대로… 역사(役事)가... ",,2021-03-04 20:19:00
35,[과학서평] 기술 패권 시대의 대중국 혁신 전략,"차이나 포럼은 문유현 고려대학교 초빙교수가 위원장을 맡고, <b>김진현</b> 세계평화포럼 이사장이 특별고문을 맡았다. 10인의 위원은 김기찬 카톨릭대학교 교수, 김상선 KISTEP 원장, 배문식 ETRI 초빙연구원, 안기현... ",,2021-03-04 18:35:00
36,"[J리그 리뷰] '정성룡vs<b>김진현</b>' 가와사키, 세레소에 3-2 역전승...2연승+1위",골키퍼 장갑은 <b>김진현</b>이 꼈다. 세레소가 먼저 포문을 열었다. 전반 4분 오른쪽 측면에서 사카모토의 패스를... 전반 37분 코너킥 기회에서 제지에우가 정확한 타점으로 헤딩 슈팅을 날렸지만 <b>김진현</b>이 선방했다. 이후 더... ,,2021-03-03 19:57:00
37,인사 - 2021030213,재산지원처장 신성열 ▲강원본부 안전혁신처장 김태희 건설공제조합 ◇임원 선임 ▲보증공제본부장 <b>김진현</b> ▲경영지원본부장 김창용 한국농촌경제연구원 ◇보직 ▲부원장 박준기 ▲국제농업개발협력센터장 김종선,,2021-03-02 15:22:00
38,홍명보 감독 &quot;K리그 데뷔 설렌다…윤빛가람은 잔류&quot;,홍 감독은 &quot;강원전이라서 <b>김진현</b>이 선발로 나서는 건 아니다. 힌터제어가 합류한 지 얼마 되지 않아 시간을 주는 게 중요했다&quot;라고 말했다. 신인 강윤구의 선발 출전에 대해선 &quot;이제 막 고등학교를 졸업한 선수다. 부담과... ,,2021-03-01 13:41:00
39,"경북독립운동기념관, 3.1절 특별 개관... 다양한 체험진행",또한 경상북도 <b>김진현</b> 복지건강국장은 &quot;제102주년 3‧1절을 맞아 경상북도독립운동기념관에서 가족과 함께 독립운동가들의 삶과 정신을 되돌아보고 나라사랑과 호국안보의 소중함을 공유하는 장이 되길 바라며... ,,2021-03-01 00:08:00
40,[인사] 건설공제조합,◇임원 선임 ▲보증공제본부장 <b>김진현</b> ▲경영지원본부장 김창용,,2021-02-28 13:54:00
41,"수원FC, 양동현 선제골 불구 대구와 K리그1 개막전 무승부",이에 화답하듯 <b>김진현</b>은 후반 31분 황순민의 롱 패스를 페널티아크에서 받아 박스 안으로 들어가며 왼발 슛으로 전반 페널티킥 허용의 실수를 만회하는 동점골을 성공시켰다.,,2021-02-27 19:07:00
42,"[J리그 리뷰] <b>김진현</b>, 국대 GK 대결서 웃었다...김승규의 가시와에 2-0 승리", 김대식 기자 = 대한민국 국가대표팀 골키퍼 출신들의 대결에서 <b>김진현</b>이 승리했다. 김지현이 활약하고 있는 세레소 오사카는 27일 오후 4시(한국시간) 일본 오사카에 위치한 나가이 육상경기장에서 열린 2021시즌... ,,2021-02-27 18:23:00
43,[오늘의 인사] 국토교통부 통계청 한국농촌경제연구원 外,-건설공제조합 ◇ 임원 선임 ▲ 보증공제본부장 <b>김진현</b> ▲ 경영지원본부장 김창용 -경남정보대 ▲ 입시관리처장 김태형 ▲ 입시관리부처장 최재현 ▲ 대외협력부처장 이원희 ▲ 국제교류센터장 하종수... ,,2021-02-26 20:43:00
44,2월 27일 인사,이원희 △국제교류센터장 하종수 △KIT사랑의봉사〃 조용수△여대생커리어개발실장 박의정 ⊙ 건설공제조합 ◇임원 △보증공제본부장 <b>김진현</b> △경영지원〃 김창용 ⊙ 미래에셋대우 △PI총괄 사장 김재식,,2021-02-26 18:32:00
45,[인사]  행정안전부 외,박임마누엘 ◆건설공제조합 ◇본부장 △보증공제 <b>김진현</b> △경영지원 김창용 ◆단국대 △천안부총장 박승환 △대외협력처장 박성순 ◇관장 △생활 이한규 △천안캠퍼스 생활 김재필 △퇴계기념중앙도서관 겸... ,,2021-02-26 18:20:00
46,"건설공제조합, <b>김진현</b>·김창용 신임 본부장 선임","건설공제조합은 신임 임원으로 <b>김진현</b> 여의도지점장과 김창용 종로지점장을 선임했다고 26일 밝혔다. <b>김진현</b> 신임 보증공제본부장은 1990년 입사해 종로지점장과 경영지원실장 등을 역임했고, 김창용 신임... ",,2021-02-26 17:52:00
47,[인사] 교육부 ; 외교부 ; 국토교통부 등,선임▷보증공제본부장 <b>김진현</b>▷경영지원본부장 김창용 ◈아주대·아주대의료원◇아주대▷사회과학대학장 김동근▷다산학부대학장 송하석▷정보통신대학원장 겸 정보통신전문대학원장 김민구▷교통·ITS대학원장... ,,2021-02-26 17:34:00
48,[인사] 국토교통부 / 외교부 / 법제처 등,선임 △보증공제본부장 <b>김진현</b> △경영지원본부장 김창용 ■한국과학기술원(KAIST) △교학부총장 겸 학장 겸 글로벌리더십센터장 이승섭 △연구부총장 이상엽 △대외부총장 김보원 △산학협력 자문역(부총장급) 김정호... ,,2021-02-26 17:16:00
